date,link,text
2019-09-24 17:46,https://newyork.craigslist.org/brk/egr/d/nys-licensed-architect-or-pe/6985840258.html,NYS Licensed Architect or PE
2019-09-24 11:06,https://newyork.craigslist.org/mnh/egr/d/new-york-corporate-interior-designer-in/6985479126.html,Corporate Interior Designer - (In-house)
2019-09-24 10:53,https://newyork.craigslist.org/mnh/egr/d/new-york-city-dob-filing-representative/6985467795.html,DOB Filing Representative- Freelance
2019-09-24 10:53,https://newyork.craigslist.org/mnh/egr/d/new-york-city-nyc-dob-architect/6985467171.html,NYC DOB_ Architect _ Architectural Services- filing set_ Freelancer
2019-09-23 21:50,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-project-manager/6985238698.html,Construction Project Manager
2019-09-23 17:48,https://newyork.craigslist.org/que/egr/d/project-architects/6985092545.html,Project Architect(s)
2019-09-23 10:55,https://newyork.craigslist.org/mnh/egr/d/new-york-interior-design-director/6984699179.html,Interior Design Director
2019-09-23 10:38,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-sr-architect-5/6984683913.html,Intermediate - Sr. Architect / 5 Star Hospitality
2019-09-23 10:03,https://newyork.craigslist.org/brk/egr/d/brooklyn-draft-person-junior-architect/6984654831.html,Draft person / Junior Architect
2019-09-23 09:47,https://newyork.craigslist.org/brx/egr/d/bronx-drafter-salesperson/6984642369.html,Drafter/ Salesperson
2019-09-23 07:35,https://newyork.craigslist.org/brk/egr/d/brooklyn-architect-drafter/6984576039.html,Architect Drafter
2019-09-22 21:21,https://newyork.craigslist.org/que/egr/d/flushing-seeking-autocad-draft-persons/6984453708.html,Seeking AutoCad Draft persons
2019-09-22 11:28,https://newyork.craigslist.org/que/egr/d/wyandanch-cnc-operator-architectural/6984074358.html,CNC Operator Architectural Millwork
2019-09-21 16:41,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect/6983724129.html,intermediate architect
2019-09-21 11:04,https://newyork.craigslist.org/mnh/egr/d/new-york-landscape-architect-assistant/6983442087.html,"Landscape architect assistant, project management trainee"
2019-09-20 15:53,https://newyork.craigslist.org/mnh/egr/d/new-york-project-administrator/6982985650.html,Project Administrator
2019-09-20 15:22,https://newyork.craigslist.org/que/egr/d/draftsman-assistant-project-manager/6982958179.html,"Draftsman, Assistant Project Manager"
2019-09-20 15:21,https://newyork.craigslist.org/que/egr/d/estimator/6982957261.html,Estimator
2019-09-20 15:19,https://newyork.craigslist.org/que/egr/d/project-manager/6982955918.html,Project Manager
2019-09-20 14:23,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-engineer-mid/6982902668.html,Architect/Engineer (mid-level)
2019-09-20 13:56,https://newyork.craigslist.org/brk/egr/d/brooklyn-architect-engineer/6982876499.html,Architect  Engineer
2019-09-19 18:22,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect-draft-person/6982370182.html,Junior Architect/Draft person
2019-09-19 17:38,https://newyork.craigslist.org/mnh/egr/d/new-york-construction-project-manager/6982340069.html,"Construction Project Manager ( Denver, CO)"
